jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|tmParams|activationThreshold,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|sine:n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=sine,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=sine, 
1001,  2197,  completed,  eof,  2017-10-17 13:44:34,  2017-10-17 13:47:17,  163,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|sine:n_272.modelParams|spParams|synPermInactiveDec_0.05015,  3000,  11,  14,  3,  0.05005,  272,  0.05015,  0.00847327546612,  0.443805681761, 
1001,  2268,  completed,  eof,  2017-10-17 13:44:34,  2017-10-17 13:46:21,  107,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|sine:n_22.modelParams|spParams|synPermInactiveDec_0.1,  3000,  9,  12,  1,  0.0001,  22,  0.1,  0.486192589094,  25.4653627553, 
1001,  2329,  completed,  eof,  2017-10-17 13:44:35,  2017-10-17 13:47:52,  197,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|sine:n_521.modelParams|spParams|synPermInactiveDec_0.0003,  3000,  12,  16,  5,  0.1,  521,  0.0003,  0.00485962866924,  0.254533305719, 
1001,  2380,  completed,  eof,  2017-10-17 13:44:36,  2017-10-17 13:47:15,  159,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|sensorParams|encoders|sine:n_147.modelParams|spParams|synPermInactiveDec_0.075075,  3000,  10,  13,  2,  0.025075,  147,  0.075075,  0.00643536675541,  0.337065912903, 
1001,  2421,  completed,  eof,  2017-10-17 13:44:36,  2017-10-17 13:47:30,  174,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|sensorParams|encoders|sine:n_396.modelParams|spParams|synPermInactiveDec_0.025225,  3000,  11,  15,  4,  0.075025,  396,  0.025225,  0.00212576457615,  0.111341405193, 
1001,  2452,  completed,  eof,  2017-10-17 13:46:21,  2017-10-17 13:48:18,  117,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|sine:n_47.modelParams|spParams|synPermInactiveDec_0.1,  3000,  9,  12,  1,  0.0001,  47,  0.1,  0.29241277546,  15.3157361268, 
1001,  2453,  completed,  eof,  2017-10-17 13:47:15,  2017-10-17 13:49:47,  152,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.02008.modelParams|sensorParams|encoders|sine:n_122.modelParams|spParams|synPermInactiveDec_0.07009,  3000,  10,  13,  2,  0.02008,  122,  0.07009,  0.0130723082608,  0.684689728673, 
1001,  2454,  completed,  eof,  2017-10-17 13:47:18,  2017-10-17 13:49:51,  153,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.034196481062.modelParams|sensorParams|encoders|sine:n_195.modelParams|spParams|synPermInactiveDec_0.0801133922224,  3000,  10,  13,  2,  0.034196481062,  195,  0.0801133922224,  0.00428375879585,  0.224370905973, 
1001,  2455,  completed,  eof,  2017-10-17 13:47:31,  2017-10-17 13:50:17,  166,  modelParams|tmParams|minThreshold_10.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.08002.modelParams|sensorParams|encoders|sine:n_371.modelParams|spParams|synPermInactiveDec_0.03021,  3000,  10,  15,  4,  0.08002,  371,  0.03021,  0.00994750272683,  0.521021445267, 
